lookup_subcounty,lookup_ward,county_corrected
Keiyo South,Metkei,Elgeyo/Marakwet
Tinderet,Songhor/Soba,Nandi
Tinderet,Tindiret,Nandi
Tinderet,Chemelil/Chemase,Nandi
Tinderet,Kapsimotwo,Nandi
Aldai,Kabwareng,Nandi
Aldai,Terik,Nandi
Aldai,Kemeloi Maraba,Nandi
Aldai,Kobujoi,Nandi
Aldai,Kaptumo Kaboi,Nandi
Aldai,Koyo Ndurio,Nandi
Nandi Hills,Nandi Hills,Nandi
Nandi Hills,Chepkunyuk,Nandi
Nandi Hills,OlLessos,Nandi
Nandi Hills,Kapchorua,Nandi
Chesumei,Chemundu/KapngEtuny,Nandi
Chesumei,Kosirai,Nandi
Chesumei,Lelmokwo/Ngechek,Nandi
Chesumei,Kaptel/Kamoiywo,Nandi
Chesumei,Kiptuya,Nandi
Emgwen,Chepkumia,Nandi
Emgwen,Kapkangani,Nandi
Emgwen,Kapsabet,Nandi
Emgwen,Kilibwoni,Nandi
Mosop,Chepterwai,Nandi
Mosop,Kipkaren,Nandi
Mosop,Kurgung/Surungai,Nandi
Mosop,Kabiyet,Nandi
Mosop,Ndalat,Nandi
Mosop,Kabisaga,Nandi
Mosop,Sangalo/Kebulonik,Nandi
Tiaty,Tirioko,Baringo
Tiaty,Kolowa,Baringo
Tiaty,Ribkwo,Baringo
Tiaty,Silale,Baringo
Tiaty,Loiyamorock,Baringo
Tiaty,Tangulbei/Korossi,Baringo
Tiaty,Churo/Amaya,Baringo
Baringo North,Barwessa,Baringo
Baringo North,Kabartonjo,Baringo
Baringo North,Saimo/Kipsaraman,Baringo
Baringo North,Saimo/Soi,Baringo
Baringo North,Bartabwa,Baringo
Baringo Central,Kabarnet,Baringo
Baringo Central,Sacho,Baringo
Baringo Central,Tenges,Baringo
Baringo Central,Ewalel Chapchap,Baringo
Baringo Central,Kapropita,Baringo
Baringo South,Marigat,Baringo
Baringo South,Ilchamus,Baringo
Baringo South,Mochongoi,Baringo
Baringo South,Mukutani,Baringo
Mogotio,Mogotio,Baringo
Mogotio,Emining,Baringo
Mogotio,Kisanana,Baringo
Eldama Ravine,Lembus,Baringo
Eldama Ravine,Lembus Kwen,Baringo
Eldama Ravine,Ravine,Baringo
Eldama Ravine,Mumberes/Maji Mazuri,Baringo
Eldama Ravine,Lembus/Perkerra,Baringo
Eldama Ravine,Koibatek,Baringo
Laikipia West,Olmoran,Laikipia
Laikipia West,Rumuruti Township,Laikipia
Laikipia West,Kinamba,Laikipia
Laikipia West,Marmanet,Laikipia
Laikipia West,Igwamiti,Laikipia
Laikipia West,Salama,Laikipia
Laikipia East,Ngobit,Laikipia
Laikipia East,Tigithi,Laikipia
Laikipia East,Thingithu,Laikipia
Laikipia East,Nanyuki,Laikipia
Laikipia East,Umande,Laikipia
Laikipia North,Sosian,Laikipia
Laikipia North,Segera,Laikipia
Laikipia North,Mukogondo West,Laikipia
Laikipia North,Mukogondo East,Laikipia
Molo,Mariashoni,Nakuru
Molo,Elburgon,Nakuru
Molo,Turi,Nakuru
Molo,Molo,Nakuru
Njoro,Maunarok,Nakuru
Njoro,Mauche,Nakuru
Njoro,Kihingo,Nakuru
Njoro,Nessuit,Nakuru
Njoro,Lare,Nakuru
Njoro,Njoro,Nakuru
Naivasha,Biashara,Nakuru
Naivasha,Hells Gate,Nakuru
Naivasha,Lakeview,Nakuru
Naivasha,Maai Mahiu,Nakuru
Naivasha,Maiella,Nakuru
Naivasha,Olkaria,Nakuru
Naivasha,Naivasha East,Nakuru
Naivasha,Viwandani,Nakuru
Gilgil,Gilgil,Nakuru
Gilgil,Elementaita,Nakuru
Gilgil,Mbaruk/Eburu,Nakuru
Gilgil,Malewa West,Nakuru
Gilgil,Murindati,Nakuru
Kuresoi South,Amalo,Nakuru
Kuresoi South,Keringet,Nakuru
Kuresoi South,Kiptagich,Nakuru
Kuresoi South,Tinet,Nakuru
Kuresoi North,Kiptororo,Nakuru
Kuresoi North,Nyota,Nakuru
Kuresoi North,Sirikwa,Nakuru
Kuresoi North,Kamara,Nakuru
Subukia,Subukia,Nakuru
Subukia,Waseges,Nakuru
Subukia,Kabazi,Nakuru
Rongai,Menengai West,Nakuru
Rongai,Soin,Nakuru
Rongai,Visoi,Nakuru
Rongai,Mosop,Nakuru
Rongai,Solai,Nakuru
Bahati,Dundori,Nakuru
Bahati,Kabatini,Nakuru
Bahati,Kiamaina,Nakuru
Bahati,Lanet/Umoja,Nakuru
Bahati,Bahati,Nakuru
Nakuru Town West,Barut,Nakuru
Nakuru Town West,London,Nakuru
Nakuru Town West,Kaptembwo,Nakuru
Nakuru Town West,Kapkures,Nakuru
Nakuru Town West,Rhoda,Nakuru
Nakuru Town West,Shaabab,Nakuru
Nakuru Town East,Biashara,Nakuru
Nakuru Town East,Kivumbini,Nakuru
Nakuru Town East,Flamingo,Nakuru
Nakuru Town East,Menengai,Nakuru
Nakuru Town East,Nakuru East,Nakuru
Kilgoris,Kilgoris Central,Narok
Kilgoris,Keyian,Narok
Kilgoris,Angata Barikoi,Narok
Kilgoris,Shankoe,Narok
Kilgoris,Kimintet,Narok
Kilgoris,Lolgorian,Narok
Emurua Dikirr,Ilkerin,Narok
Emurua Dikirr,Ololmasani,Narok
Emurua Dikirr,Mogondo,Narok
Emurua Dikirr,Kapsasian,Narok
Narok North,Olpusimoru,Narok
Narok North,Olokurto,Narok
Narok North,Narok Town,Narok
Narok North,Nkareta,Narok
Narok North,Olorropil,Narok
Narok North,Melili,Narok
Narok East,Mosiro,Narok
Narok East,Ildamat,Narok
Narok East,Keekonyokie,Narok
Narok East,Suswa,Narok
Narok South,Majimoto/Naroosura,Narok
Narok South,OlolulungA,Narok
Narok South,Melelo,Narok
Narok South,Loita,Narok
Narok South,Sogoo,Narok
Narok South,Sagamian,Narok
Narok West,Ilmotiok,Narok
Narok West,Mara,Narok
Narok West,Siana,Narok
Narok West,Naikarra,Narok
Kajiado North,Olkeri,Kajiado
Kajiado North,Ongata Rongai,Kajiado
Kajiado North,Nkaimurunya,Kajiado
Kajiado North,Oloolua,Kajiado
Kajiado North,Ngong,Kajiado
Kajiado Central,Purko,Kajiado
Kajiado Central,Ildamat,Kajiado
Kajiado Central,Dalalekutuk,Kajiado
Kajiado Central,Matapato North,Kajiado
Kajiado Central,Matapato South,Kajiado
Kajiado East,Kaputiei North,Kajiado
Kajiado East,Kitengela,Kajiado
Kajiado East,Oloosirkon/Sholinke,Kajiado
Kajiado East,Kenyawa Poka,Kajiado
Kajiado East,Imaroro,Kajiado
Kajiado West,Keekonyokie,Kajiado
Kajiado West,Iloodokilani,Kajiado
Kajiado West,Magadi,Kajiado
Kajiado West,Ewuaso OonkidongI,Kajiado
Kajiado West,Mosiro,Kajiado
Kajiado South,Entonet/Lenkisim,Kajiado
Kajiado South,Mbirikani/Eselenkei,Kajiado
Kajiado South,Kuku,Kajiado
Kajiado South,Rombo,Kajiado
Kajiado South,Kimana,Kajiado
Kipkelion East,Londiani,Kericho
Kipkelion East,Kedowa/Kimugul,Kericho
Kipkelion East,Chepseon,Kericho
Kipkelion East,Tendeno/Sorget,Kericho
Kipkelion West,Kunyak,Kericho
Kipkelion West,Kamasian,Kericho
Kipkelion West,Kipkelion,Kericho
Kipkelion West,Chilchila,Kericho
Ainamoi,Kapsoit,Kericho
Ainamoi,Ainamoi,Kericho
Ainamoi,Kapkugerwet,Kericho
Ainamoi,Kipchebor,Kericho
Ainamoi,Kipchimchim,Kericho
Ainamoi,Kapsaos,Kericho
Bureti,Kisiara,Kericho
Bureti,Tebesonik,Kericho
Bureti,Cheboin,Kericho
Bureti,Chemosot,Kericho
Bureti,Litein,Kericho
Bureti,Cheplanget,Kericho
Bureti,Kapkatet,Kericho
Belgut,Waldai,Kericho
Belgut,Kabianga,Kericho
Belgut,Cheptororiet/Seretut,Kericho
Belgut,Chaik,Kericho
Belgut,Kapsuser,Kericho
Sigowet/Soin,Sigowet,Kericho
Sigowet/Soin,Kaplelartet,Kericho
Sigowet/Soin,Soliat,Kericho
Sigowet/Soin,Soin,Kericho
Sotik,Ndanai/Abosi,Bomet
Sotik,Chemagel,Bomet
Sotik,Kipsonoi,Bomet
Sotik,Kapletundo,Bomet
Sotik,Rongena/Manaret,Bomet
Chepalungu,KongAsis,Bomet
Chepalungu,Nyangores,Bomet
Chepalungu,Sigor,Bomet
Chepalungu,Chebunyo,Bomet
Chepalungu,Siongiroi,Bomet
Bomet East,Merigi,Bomet
Bomet East,Kembu,Bomet
Bomet East,Longisa,Bomet
Bomet East,Kipreres,Bomet
Bomet East,Chemaner,Bomet
Bomet Central,Silibwet Township,Bomet
Bomet Central,Ndaraweta,Bomet
Bomet Central,Singorwet,Bomet
Bomet Central,Chesoen,Bomet
Bomet Central,Mutarakwa,Bomet
Konoin,Chepchabas,Bomet
Konoin,Kimulot,Bomet
Konoin,Mogogosiek,Bomet
Konoin,Boito,Bomet
Konoin,Embomos,Bomet
Lugari,Mautuma,Kakamega
Lugari,Lugari,Kakamega
Lugari,Lumakanda,Kakamega
Lugari,Chekalini,Kakamega
Lugari,Chevaywa,Kakamega
Lugari,Lwandeti,Kakamega
Likuyani,Likuyani,Kakamega
Likuyani,Sango,Kakamega
Likuyani,Kongoni,Kakamega
Likuyani,Nzoia,Kakamega
Likuyani,Sinoko,Kakamega
Malava,West Kabras,Kakamega
Malava,Chemuche,Kakamega
Malava,East Kabras,Kakamega
Malava,Butali/Chegulo,Kakamega
Malava,Manda Shivanga,Kakamega
Malava,Shirugu Mugai,Kakamega
Malava,South Kabras,Kakamega
Lurambi,Butsotso East,Kakamega
Lurambi,Butsotso South,Kakamega
Lurambi,Butsotso Central,Kakamega
Lurambi,Sheywe,Kakamega
Lurambi,Mahiakalo,Kakamega
Lurambi,Shirere,Kakamega
Navakholo,Ingostse Mathia,Kakamega
Navakholo,Shinoyi Shikomari,Kakamega
Navakholo,Bunyala West,Kakamega
Navakholo,Bunyala East,Kakamega
Navakholo,Bunyala Central,Kakamega
Mumias West,Mumias Central,Kakamega
Mumias West,Mumias North,Kakamega
Mumias West,Etenje,Kakamega
Mumias West,Musanda,Kakamega
Mumias East,Lubinu/Lusheya,Kakamega
Mumias East,Isongo/Makunga/Malaha,Kakamega
Mumias East,East Wanga,Kakamega
Matungu,Koyonzo,Kakamega
Matungu,Kholera,Kakamega
Matungu,Khalaba,Kakamega
Matungu,Mayoni,Kakamega
Matungu,Namamali,Kakamega
Butere,Marama West,Kakamega
Butere,Marama Central,Kakamega
Butere,Marenyo Shianda,Kakamega
Butere,Marama North,Kakamega
Butere,Marama South,Kakamega
Khwisero,Kisa North,Kakamega
Khwisero,Kisa East,Kakamega
Khwisero,Kisa West,Kakamega
Khwisero,Kisa Central,Kakamega
Shinyalu,Isukha North,Kakamega
Shinyalu,Murhanda,Kakamega
Shinyalu,Isukha Central,Kakamega
Shinyalu,Isukha South,Kakamega
Shinyalu,Isukha East,Kakamega
Shinyalu,Isukha West,Kakamega
Ikolomani,Idakho South,Kakamega
Ikolomani,Idakho East,Kakamega
Ikolomani,Idakho North,Kakamega
Ikolomani,Idakho Central,Kakamega
Vihiga,Lugaga Wamuluma,Vihiga
Vihiga,South Maragoli,Vihiga
Vihiga,Central Maragoli,Vihiga
Vihiga,Mungoma,Vihiga
Sabatia,Lyaduywa/Izava,Vihiga
Sabatia,West Sabatia,Vihiga
Sabatia,Chavakali,Vihiga
Sabatia,North Maragoli,Vihiga
Sabatia,Wodanga,Vihiga
Sabatia,Busali,Vihiga
Hamisi,Shiru,Vihiga
Hamisi,Muhudu,Vihiga
Hamisi,Shamakhokho,Vihiga
Hamisi,Gisambai,Vihiga
Hamisi,Banja,Vihiga
Hamisi,Tambua,Vihiga
Hamisi,Jepkoyai,Vihiga
Luanda,Luanda Township,Vihiga
Luanda,Wemilabi,Vihiga
Luanda,Mwibona,Vihiga
Luanda,Luanda South,Vihiga
Luanda,Emabungo,Vihiga
Emuhaya,North East Bunyore,Vihiga
Emuhaya,Central Bunyore,Vihiga
Emuhaya,West Bunyore,Vihiga
Mt.Elgon,Cheptais,Bungoma
Mt.Elgon,Chesikaki,Bungoma
Mt.Elgon,Chepyuk,Bungoma
Mt.Elgon,Kapkateny,Bungoma
Mt.Elgon,Kaptama,Bungoma
Mt.Elgon,Elgon,Bungoma
Sirisia,Namwela,Bungoma
Sirisia,Malakisi/South Kulisiru,Bungoma
Sirisia,Lwandanyi,Bungoma
Kabuchai,Kabuchai/Chwele,Bungoma
Kabuchai,West Nalondo,Bungoma
Kabuchai,Bwake/Luuya,Bungoma
Kabuchai,Mukuyuni,Bungoma
Bumula,South Bukusu,Bungoma
Bumula,Bumula,Bungoma
Bumula,Khasoko,Bungoma
Bumula,Kabula,Bungoma
Bumula,Kimaeti,Bungoma
Bumula,West Bukusu,Bungoma
Bumula,Siboti,Bungoma
Kanduyi,Bukembe West,Bungoma
Kanduyi,Bukembe East,Bungoma
Kanduyi,Township,Bungoma
Kanduyi,Khalaba,Bungoma
Kanduyi,Musikoma,Bungoma
Kanduyi,East SangAlo,Bungoma
Kanduyi,Marakaru/Tuuti,Bungoma
Kanduyi,SangAlo West,Bungoma
Webuye East,Mihuu,Bungoma
Webuye East,Ndivisi,Bungoma
Webuye East,Maraka,Bungoma
Webuye West,Misikhu,Bungoma
Webuye West,Sitikho,Bungoma
Webuye West,Matulo,Bungoma
Webuye West,Bokoli,Bungoma
Kimilili,Kimilili,Bungoma
Kimilili,Kibingei,Bungoma
Kimilili,Maeni,Bungoma
Kimilili,Kamukuywa,Bungoma
Tongaren,Mbakalo,Bungoma
Tongaren,Naitiri/Kabuyefwe,Bungoma
Tongaren,Milima,Bungoma
Tongaren,Ndalu/ Tabani,Bungoma
Tongaren,Tongaren,Bungoma
Tongaren,Soysambu/ Mitua,Bungoma
Teso North,Malaba Central,Busia
Teso North,Malaba North,Busia
Teso North,AngUrai South,Busia
Teso North,AngUrai North,Busia
Teso North,AngUrai East,Busia
Teso North,Malaba South,Busia
Teso South,AngOrom,Busia
Teso South,Chakol South,Busia
Teso South,Chakol North,Busia
Teso South,Amukura West,Busia
Teso South,Amukura East,Busia
Teso South,Amukura Central,Busia
Nambale,Nambale Township,Busia
Nambale,Bukhayo North/Waltsi,Busia
Nambale,Bukhayo East,Busia
Nambale,Bukhayo Central,Busia
Matayos,Bukhayo West,Busia
Matayos,Mayenje,Busia
Matayos,Matayos South,Busia
Matayos,Busibwabo,Busia
Matayos,Burumba,Busia
Butula,Marachi West,Busia
Butula,Kingandole,Busia
Butula,Marachi Central,Busia
Butula,Marachi East,Busia
Butula,Marachi North,Busia
Butula,Elugulu,Busia
Funyula,Namboboto Nambuku,Busia
Funyula,Nangina,Busia
Funyula,AgengA Nanguba,Busia
Funyula,Bwiri,Busia
Budalangi,Bunyala Central,Busia
Budalangi,Bunyala North,Busia
Budalangi,Bunyala West,Busia
Budalangi,Bunyala South,Busia
Ugenya,West Ugenya,Siaya
Ugenya,Ukwala,Siaya
Ugenya,North Ugenya,Siaya
Ugenya,East Ugenya,Siaya
Ugunja,Sidindi,Siaya
Ugunja,Sigomere,Siaya
Ugunja,Ugunja,Siaya
Alego Usonga,Usonga,Siaya
Alego Usonga,West Alego,Siaya
Alego Usonga,Central Alego,Siaya
Alego Usonga,Siaya Township,Siaya
Alego Usonga,North Alego,Siaya
Alego Usonga,South East Alego,Siaya
Gem,North Gem,Siaya
Gem,West Gem,Siaya
Gem,Central Gem,Siaya
Gem,Yala Township,Siaya
Gem,East Gem,Siaya
Gem,South Gem,Siaya
Bondo,West Yimbo,Siaya
Bondo,Central Sakwa,Siaya
Bondo,South Sakwa,Siaya
Bondo,Yimbo East,Siaya
Bondo,West Sakwa,Siaya
Bondo,North Sakwa,Siaya
Rarieda,East Asembo,Siaya
Rarieda,West Asembo,Siaya
Rarieda,North Uyoma,Siaya
Rarieda,South Uyoma,Siaya
Rarieda,West Uyoma,Siaya
Kisumu East,Kajulu,Kisumu
Kisumu East,Kolwa East,Kisumu
Kisumu East,Manyatta B,Kisumu
Kisumu East,Nyalenda A,Kisumu
Kisumu East,Kolwa Central,Kisumu
Kisumu West,South West Kisumu,Kisumu
Kisumu West,Central Kisumu,Kisumu
Kisumu West,Kisumu North,Kisumu
Kisumu West,West Kisumu,Kisumu
Kisumu West,North West Kisumu,Kisumu
Kisumu Central,Railways,Kisumu
Kisumu Central,Migosi,Kisumu
Kisumu Central,Shaurimoyo Kaloleni,Kisumu
Kisumu Central,Market Milimani,Kisumu
Kisumu Central,Kondele,Kisumu
Kisumu Central,Nyalenda B,Kisumu
Seme,West Seme,Kisumu
Seme,Central Seme,Kisumu
Seme,East Seme,Kisumu
Seme,North Seme,Kisumu
Nyando,East Kano/Wawidhi,Kisumu
Nyando,Awasi/Onjiko,Kisumu
Nyando,Ahero,Kisumu
Nyando,Kabonyo/Kanyagwal,Kisumu
Nyando,Kobura,Kisumu
Muhoroni,Miwani,Kisumu
Muhoroni,Ombeyi,Kisumu
Muhoroni,Masogo/Nyang'oma,Kisumu
Muhoroni,Chemelil,Kisumu
Muhoroni,Muhoroni/Koru,Kisumu
Nyakach,South West Nyakach,Kisumu
Nyakach,North Nyakach,Kisumu
Nyakach,Central Nyakach,Kisumu
Nyakach,West Nyakach,Kisumu
Nyakach,South East Nyakach,Kisumu
Kasipul,West Kasipul,Homa Bay
Kasipul,South Kasipul,Homa Bay
Kasipul,Central Kasipul,Homa Bay
Kasipul,East Kamagak,Homa Bay
Kasipul,West Kamagak,Homa Bay
Kabondo Kasipul,Kabondo East,Homa Bay
Kabondo Kasipul,Kabondo West,Homa Bay
Kabondo Kasipul,Kokwanyo/Kakelo,Homa Bay
Kabondo Kasipul,Kojwach,Homa Bay
Karachuonyo,West Karachuonyo,Homa Bay
Karachuonyo,North Karachuonyo,Homa Bay
Karachuonyo,Central Karachuonyo,Homa Bay
Karachuonyo,Kanyaluo,Homa Bay
Karachuonyo,Kibiri,Homa Bay
Karachuonyo,Wangchieng,Homa Bay
Karachuonyo,Kendu Bay Town,Homa Bay
Rangwe,West Gem,Homa Bay
Rangwe,East Gem,Homa Bay
Rangwe,Kagan,Homa Bay
Rangwe,Kochia,Homa Bay
Homa Bay Town,Homa Bay Central,Homa Bay
Homa Bay Town,Homa Bay Arujo,Homa Bay
Homa Bay Town,Homa Bay West,Homa Bay
Homa Bay Town,Homa Bay East,Homa Bay
Ndhiwa,Kwabwai,Homa Bay
Ndhiwa,Kanyadoto,Homa Bay
Ndhiwa,Kanyikela,Homa Bay
Ndhiwa,North Kabuoch,Homa Bay
Ndhiwa,Kabuoch South/Pala,Homa Bay
Ndhiwa,Kanyamwa Kologi,Homa Bay
Ndhiwa,Kanyamwa Kosewe,Homa Bay
Mbita,Mfangano Island,Homa Bay
Mbita,Rusinga Island,Homa Bay
Mbita,Kasgunga,Homa Bay
Mbita,Gembe,Homa Bay
Mbita,Lambwe,Homa Bay
Suba,Gwassi South,Homa Bay
Suba,Gwassi North,Homa Bay
Suba,Kaksingri West,Homa Bay
Suba,Ruma Kaksingri East,Homa Bay
Rongo,North Kamagambo,Migori
Rongo,Central Kamagambo,Migori
Rongo,East Kamagambo,Migori
Rongo,South Kamagambo,Migori
Awendo,North Sakwa,Migori
Awendo,South Sakwa,Migori
Awendo,West Sakwa,Migori
Awendo,Central Sakwa,Migori
Suna East,God Jope,Migori
Suna East,Suna Central,Migori
Suna East,Kakrao,Migori
Suna East,Kwa,Migori
Suna West,Wiga,Migori
Suna West,Wasweta Ii,Migori
Suna West,Ragana Oruba,Migori
Suna West,Wasimbete,Migori
Uriri,West Kanyamkago,Migori
Uriri,North Kanyamkago,Migori
Uriri,Central Kanyamkago,Migori
Uriri,South Kanyamkago,Migori
Uriri,East Kanyamkago,Migori
Nyatike,KachienG,Migori
Nyatike,Kanyasa,Migori
Nyatike,North Kadem,Migori
Nyatike,Macalder/Kanyarwanda,Migori
Nyatike,Kaler,Migori
Nyatike,Got Kachola,Migori
Nyatike,Muhuru,Migori
Kuria West,Bukira East,Migori
Kuria West,Bukira Centrl/Ikerege,Migori
Kuria West,Isibania,Migori
Kuria West,Makerero,Migori
Kuria West,Masaba,Migori
Kuria West,Tagare,Migori
Kuria West,Nyamosense/Komosoko,Migori
Kuria East,Gokeharaka/Getambwega,Migori
Kuria East,Ntimaru West,Migori
Kuria East,Ntimaru East,Migori
Kuria East,Nyabasi East,Migori
Kuria East,Nyabasi West,Migori
Bonchari,Bomariba,Kisii
Bonchari,Bogiakumu,Kisii
Bonchari,Bomorenda,Kisii
Bonchari,Riana,Kisii
South Mugirango,Tabaka,Kisii
South Mugirango,Boikanga,Kisii
South Mugirango,Bogetenga,Kisii
South Mugirango,Borabu / Chitago,Kisii
South Mugirango,Moticho,Kisii
South Mugirango,Getenga,Kisii
Bomachoge Borabu,Bombaba Borabu,Kisii
Bomachoge Borabu,Boochi Borabu,Kisii
Bomachoge Borabu,Bokimonge,Kisii
Bomachoge Borabu,Magenche,Kisii
Bobasi,Masige West,Kisii
Bobasi,Masige East,Kisii
Bobasi,Bobasi Central,Kisii
Bobasi,Nyacheki,Kisii
Bobasi,Bobasi Bogetaorio,Kisii
Bobasi,Bobasi Chache,Kisii
Bobasi,Sameta/Mokwerero,Kisii
Bobasi,Bobasi Boitangare,Kisii
Bomachoge Chache,Majoge,Kisii
Bomachoge Chache,Boochi/Tendere,Kisii
Bomachoge Chache,Bosoti/Sengera,Kisii
Nyaribari Masaba,Ichuni,Kisii
Nyaribari Masaba,Nyamasibi,Kisii
Nyaribari Masaba,Masimba,Kisii
Nyaribari Masaba,Gesusu,Kisii
Nyaribari Masaba,Kiamokama,Kisii
Nyaribari Chache,Bobaracho,Kisii
Nyaribari Chache,Kisii Central,Kisii
Nyaribari Chache,Keumbu,Kisii
Nyaribari Chache,Kiogoro,Kisii
Nyaribari Chache,Birongo,Kisii
Nyaribari Chache,Ibeno,Kisii
Kitutu Chache North,Monyerero,Kisii
Kitutu Chache North,Sensi,Kisii
Kitutu Chache North,Marani,Kisii
Kitutu Chache North,Kegogi,Kisii
Kitutu Chache South,Bogusero,Kisii
Kitutu Chache South,Bogeka,Kisii
Kitutu Chache South,Nyakoe,Kisii
Kitutu Chache South,Kitutu Central,Kisii
Kitutu Chache South,Nyatieko,Kisii
Kitutu Masaba,Rigoma,Nyamira
Kitutu Masaba,Gachuba,Nyamira
Kitutu Masaba,Kemera,Nyamira
Kitutu Masaba,Magombo,Nyamira
Kitutu Masaba,Manga,Nyamira
Kitutu Masaba,Gesima,Nyamira
West Mugirango,Nyamaiya,Nyamira
West Mugirango,Bogichora,Nyamira
West Mugirango,Bosamaro,Nyamira
West Mugirango,Bonyamatuta,Nyamira
West Mugirango,Township,Nyamira
North Mugirango,Itibo,Nyamira
North Mugirango,Bomwagamo,Nyamira
North Mugirango,Bokeira,Nyamira
North Mugirango,Magwagwa,Nyamira
North Mugirango,Ekerenyo,Nyamira
Borabu,Mekenene,Nyamira
Borabu,Kiabonyoru,Nyamira
Borabu,Nyansiongo,Nyamira
Borabu,Esise,Nyamira
Westlands,Kitisuru,Nairobi
Westlands,Parklands/Highridge,Nairobi
Westlands,Karura,Nairobi
Westlands,Kangemi,Nairobi
Westlands,Mountain View,Nairobi
Dagoretti North,Kilimani,Nairobi
Dagoretti North,Kawangware,Nairobi
Dagoretti North,Gatina,Nairobi
Dagoretti North,Kileleshwa,Nairobi
Dagoretti North,Kabiro,Nairobi
Dagoretti South,Mutuini,Nairobi
Dagoretti South,Ngando,Nairobi
Dagoretti South,Riruta,Nairobi
Dagoretti South,Uthiru/Ruthimitu,Nairobi
Dagoretti South,Waithaka,Nairobi
Langata,Karen,Nairobi
Langata,Nairobi West,Nairobi
Langata,Mugumo Ini,Nairobi
Langata,South C,Nairobi
Langata,Nyayo Highrise,Nairobi
Kibra,Laini Saba,Nairobi
Kibra,Lindi,Nairobi
Kibra,Makina,Nairobi
Kibra,Woodley/Kenyatta Golf,Nairobi
Kibra,Sarangombe,Nairobi
Roysambu,Githurai,Nairobi
Roysambu,Kahawa West,Nairobi
Roysambu,Zimmerman,Nairobi
Roysambu,Roysambu,Nairobi
Roysambu,Kahawa,Nairobi
Kasarani,Claycity,Nairobi
Kasarani,Mwiki,Nairobi
Kasarani,Kasarani,Nairobi
Kasarani,Njiru,Nairobi
Kasarani,Ruai,Nairobi
Ruaraka,Baba Dogo,Nairobi
Ruaraka,Utalii,Nairobi
Ruaraka,Mathare North,Nairobi
Ruaraka,Lucky Summer,Nairobi
Ruaraka,Korogocho,Nairobi
Embakasi South,Imara Daima,Nairobi
Embakasi South,Kwa Njenga,Nairobi
Embakasi South,Kwa Reuben,Nairobi
Embakasi South,Pipeline,Nairobi
Embakasi South,Kware,Nairobi
Embakasi North,Kariobangi North,Nairobi
Embakasi North,Dandora Area I,Nairobi
Embakasi North,Dandora Area II,Nairobi
Embakasi North,Dandora Area III,Nairobi
Embakasi North,Dandora Area IV/V,Nairobi
Embakasi Central,Kayole North,Nairobi
Embakasi Central,Kayole Central,Nairobi
Embakasi Central,Kayole South,Nairobi
Embakasi Central,Komarock,Nairobi
Embakasi Central,Matopeni,Nairobi
Embakasi East,Upper Savannah,Nairobi
Embakasi East,Lower Savannah,Nairobi
Embakasi East,Embakasi,Nairobi
Embakasi East,Utawala,Nairobi
Embakasi East,Mihango,Nairobi
Embakasi West,Umoja I,Nairobi
Embakasi West,Umoja II,Nairobi
Embakasi West,Mowlem,Nairobi
Embakasi West,Kariobangi South,Nairobi
Makadara,Makongeni,Nairobi
Makadara,Maringo/Hamza,Nairobi
Makadara,Harambee,Nairobi
Makadara,Viwandani,Nairobi
Kamukunji,Pumwani,Nairobi
Kamukunji,Eastleigh North,Nairobi
Kamukunji,Eastleigh South,Nairobi
Kamukunji,Airbase,Nairobi
Kamukunji,California,Nairobi
Starehe,Nairobi Central,Nairobi
Starehe,Ngara,Nairobi
Starehe,Ziwani/Kariokor,Nairobi
Starehe,Pangani,Nairobi
Starehe,Landimawe,Nairobi
Starehe,Nairobi South,Nairobi
Mathare,Hospital,Nairobi
Mathare,Mabatini,Nairobi
Mathare,Huruma,Nairobi
Mathare,Ngei,Nairobi
Mathare,Mlango Kubwa,Nairobi
Mathare,Kiamaiko,Nairobi
Embakasi West,Umoja III,Nairobi
